Instrument:  EduRaman Pro
The Light Source Type:  531.85nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  10.1℃
pixel(2026/05/08 10:34:07)	wavelength(2026/05/08 10:34:07)	wavenumber(2026/05/08 10:34:07)	ramanshift(2026/05/08 10:34:07)	intensity(2026/05/08 10:34:07)
1	535.909	18659.89	142.40	1308.000
2	535.988	18657.12	145.18	1313.000
3	536.068	18654.34	147.95	1362.000
4	536.148	18651.57	150.72	1327.000
5	536.228	18648.80	153.49	1347.000
6	536.307	18646.03	156.26	1357.000
7	536.387	18643.26	159.03	1370.000
8	536.467	18640.49	161.80	1339.000
9	536.546	18637.72	164.57	1361.000
10	536.626	18634.95	167.34	1379.000
11	536.706	18632.19	170.11	1306.000
12	536.785	18629.42	172.87	1339.000
13	536.865	18626.66	175.64	1313.000
14	536.945	18623.89	178.40	1302.000
15	537.024	18621.13	181.17	1244.000
16	537.104	18618.36	183.93	1270.000
17	537.184	18615.60	186.69	1232.000
18	537.264	18612.84	189.45	1193.000
19	537.343	18610.08	192.21	1205.000
20	537.423	18607.32	194.97	1206.000
21	537.503	18604.56	197.73	1158.000
22	537.582	18601.80	200.49	1113.000
23	537.662	18599.05	203.25	1138.000
24	537.742	18596.29	206.01	1120.000
25	537.821	18593.53	208.76	1081.000
26	537.901	18590.78	211.52	1060.000
27	537.981	18588.02	214.27	1048.000
28	538.061	18585.27	217.02	1052.000
29	538.140	18582.52	219.78	1019.000
30	538.220	18579.76	222.53	1059.000
31	538.300	18577.01	225.28	1058.000
32	538.379	18574.26	228.03	999.000
33	538.459	18571.51	230.78	987.000
34	538.539	18568.76	233.53	1011.000
35	538.619	18566.02	236.28	962.000
36	538.698	18563.27	239.03	919.000
37	538.778	18560.52	241.77	957.000
38	538.858	18557.78	244.52	904.000
39	538.937	18555.03	247.26	853.000
40	539.017	18552.29	250.01	874.000
41	539.097	18549.54	252.75	865.000
42	539.177	18546.80	255.49	835.000
43	539.256	18544.06	258.24	822.000
44	539.336	18541.32	260.98	822.000
45	539.416	18538.58	263.72	797.000
46	539.495	18535.84	266.46	792.000
47	539.575	18533.10	269.20	781.000
48	539.655	18530.36	271.93	813.000
49	539.735	18527.62	274.67	768.000
50	539.814	18524.89	277.41	765.000
51	539.894	18522.15	280.14	801.000
52	539.974	18519.41	282.88	779.000
53	540.054	18516.68	285.61	722.000
54	540.133	18513.95	288.35	756.000
55	540.213	18511.21	291.08	740.000
56	540.293	18508.48	293.81	721.000
57	540.373	18505.75	296.54	679.000
58	540.452	18503.02	299.27	756.000
59	540.532	18500.29	302.00	738.000
60	540.612	18497.56	304.73	701.000
61	540.692	18494.83	307.46	676.000
62	540.771	18492.11	310.19	705.000
63	540.851	18489.38	312.91	699.000
64	540.931	18486.65	315.64	659.000
65	541.011	18483.93	318.36	659.000
66	541.090	18481.21	321.09	677.000
67	541.170	18478.48	323.81	677.000
68	541.250	18475.76	326.53	660.000
69	541.330	18473.04	329.26	662.000
70	541.409	18470.32	331.98	715.000
71	541.489	18467.60	334.70	657.000
72	541.569	18464.88	337.42	661.000
73	541.649	18462.16	340.14	666.000
74	541.728	18459.44	342.85	683.000
75	541.808	18456.72	345.57	659.000
76	541.888	18454.01	348.29	634.000
77	541.968	18451.29	351.00	692.000
78	542.047	18448.57	353.72	664.000
79	542.127	18445.86	356.43	640.000
80	542.207	18443.15	359.15	644.000
81	542.287	18440.43	361.86	667.000
82	542.366	18437.72	364.57	669.000
83	542.446	18435.01	367.28	625.000
84	542.526	18432.30	369.99	667.000
85	542.606	18429.59	372.70	651.000
86	542.685	18426.88	375.41	631.000
87	542.765	18424.17	378.12	665.000
88	542.845	18421.47	380.83	688.000
89	542.925	18418.76	383.53	652.000
90	543.004	18416.05	386.24	634.000
91	543.084	18413.35	388.94	667.000
92	543.164	18410.64	391.65	646.000
93	543.244	18407.94	394.35	619.000
94	543.324	18405.24	397.06	631.000
95	543.403	18402.54	399.76	696.000
96	543.483	18399.84	402.46	677.000
97	543.563	18397.13	405.16	656.000
98	543.643	18394.43	407.86	708.000
99	543.722	18391.74	410.56	721.000
100	543.802	18389.04	413.26	697.000
101	543.882	18386.34	415.95	677.000
102	543.962	18383.64	418.65	707.000
103	544.042	18380.95	421.35	672.000
104	544.121	18378.25	424.04	699.000
